,Topics,Classics,value,Topic Words
68,Description & Dialogue (Quotations),And Then There Were None,3.2770771577140665,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
69,Description & Dialogue (Quotations),War and Peace,-0.7578565315066738,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
70,Description & Dialogue (Quotations),The Things They Carried,0.2534789735166007,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
71,Description & Dialogue (Quotations),Much Ado About Nothing,-0.5490376358456387,"['one', 'would', 'like', 'said', 'little', 'could', 'time', 'back', 'day', 'went', 'got', 'around', 'night', 'right', 'old', 'get', 'going', 'two', 'home', 'know']"
72,Conversational & Slangy Language,To Kill a Mockingbird,-1.0412936103780401,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
73,Conversational & Slangy Language,The Great Gatsby,0.1526349902680889,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
74,Conversational & Slangy Language,The Catcher in the Rye,2.9633964809386066,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
75,Conversational & Slangy Language,1984,-0.08942065160453107,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
76,Conversational & Slangy Language,Pride and Prejudice,0.24186171795968556,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
77,Conversational & Slangy Language,Jane Eyre,-0.3586287705997106,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
78,Conversational & Slangy Language,Uncle Tom's Cabin,-1.2483452269135533,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
79,Conversational & Slangy Language,The Bluest Eye,-0.5753850059817075,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
80,Conversational & Slangy Language,The Little Prince,-0.6864545915610198,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
81,Conversational & Slangy Language,Dracula,0.9000665448794698,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
82,Conversational & Slangy Language,The Handmaid's Tale,-0.6669430681475333,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
83,Conversational & Slangy Language,The Odyssey,-0.15465710075239156,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
84,Conversational & Slangy Language,Hamlet,0.6365083569794734,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
85,Conversational & Slangy Language,Tuesdays with Morrie,-0.3052177121510718,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
86,Conversational & Slangy Language,And Then There Were None,0.031109058224538973,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
87,Conversational & Slangy Language,War and Peace,-0.44419909212787434,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
88,Conversational & Slangy Language,The Things They Carried,-0.7664388968383139,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
89,Conversational & Slangy Language,Much Ado About Nothing,1.4114065778058642,"['like', 'really', 'know', 'get', 'good', 'think', 'people', 'thing', 'want', 'going', 'even', 'mean', 'pretty', 'say', 'got', 'kind', 'guy', 'didn', 'right', 'lot']"
90,Literary Language (Quotations),To Kill a Mockingbird,-0.8043842674042847,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
91,Literary Language (Quotations),The Great Gatsby,1.8078898779221233,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
92,Literary Language (Quotations),The Catcher in the Rye,-1.1975490141124017,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
93,Literary Language (Quotations),1984,-0.08987639170384888,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
94,Literary Language (Quotations),Pride and Prejudice,-1.3694792141811778,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
95,Literary Language (Quotations),Jane Eyre,0.825733776901383,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
96,Literary Language (Quotations),Uncle Tom's Cabin,-0.5820906704414196,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
97,Literary Language (Quotations),The Bluest Eye,1.4551254593141294,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
98,Literary Language (Quotations),The Little Prince,0.9013077557946723,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
99,Literary Language (Quotations),Dracula,0.899491524545684,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
100,Literary Language (Quotations),The Handmaid's Tale,-0.8097672464755685,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
101,Literary Language (Quotations),The Odyssey,0.73837218917576,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
102,Literary Language (Quotations),Hamlet,0.8173282510971684,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
103,Literary Language (Quotations),Tuesdays with Morrie,-0.7597719711795295,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
104,Literary Language (Quotations),And Then There Were None,-1.3034195819638517,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
105,Literary Language (Quotations),War and Peace,-0.5109352520856708,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
106,Literary Language (Quotations),The Things They Carried,0.5391977692091283,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
107,Literary Language (Quotations),Much Ado About Nothing,-0.5571729944123003,"['like', 'one', 'man', 'heart', 'eyes', 'never', 'could', 'upon', 'every', 'light', 'mind', 'would', 'life', 'dark', 'men', 'time', 'long', 'world', 'words', 'ever']"
108,Re-Readable,To Kill a Mockingbird,2.048754791809389,"['read', 'one', 'time', 'favorite', 'ever', 'times', 'best', 'still', 'love', 'first', 'years', 'many', 'reading', 'every', 'loved', 'great', 'written', 'amazing', 'definitely', 'good']"
